"Option","Strike","Type","Bid","Ask","Days_expiration"
"AUG4 15",750,"CALL",1113.2,1132.4,4
"AUG4 15",800,"CALL",1063.2,1082.4,4
"AUG4 15",850,"CALL",1013.2,1032.4,4
"AUG4 15",900,"CALL",963.2,982.4,4
"AUG4 15",950,"CALL",913.2,932.4,4
"AUG4 15",1000,"CALL",863.2,882.4,4
"AUG4 15",1050,"CALL",813.3,832.5,4
"AUG4 15",1100,"CALL",763.3,782.5,4
"AUG4 15",1150,"CALL",713.4,732.6,4
"AUG4 15",1175,"CALL",688.4,707.6,4
"AUG4 15",1200,"CALL",663.4,682.6,4
"AUG4 15",1225,"CALL",638.5,657.7,4
"AUG4 15",1250,"CALL",613.6,632.8,4
"AUG4 15",1275,"CALL",588.7,607.9,4
"AUG4 15",1300,"CALL",563.8,583,4
"AUG4 15",1325,"CALL",538.9,558.1,4
"AUG4 15",1350,"CALL",514,533.2,4
"AUG4 15",1375,"CALL",489.2,508.4,4
"AUG4 15",1400,"CALL",464.4,483.6,4
"AUG4 15",1425,"CALL",439.6,458.8,4
"AUG4 15",1450,"CALL",414.9,434.1,4
"AUG4 15",1475,"CALL",390.3,409.5,4
"AUG4 15",1500,"CALL",365.6,384.8,4
"AUG4 15",1510,"CALL",355.8,375,4
"AUG4 15",1520,"CALL",346,365.2,4
"AUG4 15",1525,"CALL",341.1,360.3,4
"AUG4 15",1530,"CALL",336.2,355.4,4
"AUG4 15",1540,"CALL",326.4,345.6,4
"AUG4 15",1550,"CALL",316.7,335.9,4
"AUG4 15",1560,"CALL",306.9,326.1,4
"AUG4 15",1570,"CALL",297.2,316.4,4
"AUG4 15",1575,"CALL",292.4,311.6,4
"AUG4 15",1580,"CALL",287.5,306.7,4
"AUG4 15",1585,"CALL",282.7,301.9,4
"AUG4 15",1590,"CALL",277.9,297.1,4
"AUG4 15",1595,"CALL",273,292.2,4
"AUG4 15",1600,"CALL",268.2,287.4,4
"AUG4 15",1605,"CALL",263.4,282.6,4
"AUG4 15",1610,"CALL",258.6,277.8,4
"AUG4 15",1615,"CALL",253.8,273,4
"AUG4 15",1620,"CALL",249,268.2,4
"AUG4 15",1625,"CALL",244.2,263.4,4
"AUG4 15",1630,"CALL",239.4,258.6,4
"AUG4 15",1635,"CALL",234.7,253.9,4
"AUG4 15",1640,"CALL",229.9,249.1,4
"AUG4 15",1645,"CALL",225.2,244.4,4
"AUG4 15",1650,"CALL",220.4,239.6,4
"AUG4 15",1655,"CALL",215.7,234.9,4
"AUG4 15",1660,"CALL",211,230.2,4
"AUG4 15",1665,"CALL",206.3,225.5,4
"AUG4 15",1670,"CALL",201.6,220.8,4
"AUG4 15",1675,"CALL",198.5,214.5,4
"AUG4 15",1680,"CALL",193.9,209.9,4
"AUG4 15",1685,"CALL",190.8,203.6,4
"AUG4 15",1690,"CALL",186.2,199,4
"AUG4 15",1695,"CALL",181.6,194.4,4
"AUG4 15",1700,"CALL",177,189.8,4
"AUG4 15",1705,"CALL",172.4,185.2,4
"AUG4 15",1710,"CALL",167.8,180.6,4
"AUG4 15",1715,"CALL",163.3,176.1,4
"AUG4 15",1720,"CALL",158.8,171.6,4
"AUG4 15",1725,"CALL",154.3,167.1,4
"AUG4 15",1730,"CALL",149.8,162.6,4
"AUG4 15",1735,"CALL",145.3,158.1,4
"AUG4 15",1740,"CALL",140.9,153.7,4
"AUG4 15",1745,"CALL",136.5,149.3,4
"AUG4 15",1750,"CALL",132.1,144.9,4
"AUG4 15",1755,"CALL",127.8,140.6,4
"AUG4 15",1760,"CALL",123.5,136.3,4
"AUG4 15",1765,"CALL",119.2,132,4
"AUG4 15",1770,"CALL",114.9,127.7,4
"AUG4 15",1775,"CALL",110.7,123.5,4
"AUG4 15",1780,"CALL",106.5,119.3,4
"AUG4 15",1785,"CALL",102.4,115.2,4
"AUG4 15",1790,"CALL",99.7,109.7,4
"AUG4 15",1795,"CALL",95.7,105.7,4
